1, 1, 120 
1, 2, 159 
1, 3, 190 
1, 4, 215 
1, 5, 482 
1, 6, 300 
1, 7, 322 
1, 8, 346 
1, 9, 319 
1, 10, 406 
1, 11, 460 
1, 12, 552 
1, 13, 599 
1, 14, 581 
1, 15, 650 
1, 16, 573 
2, 1, 78 
2, 2, 130 
2, 3, 185 
2, 4, 238 
2, 5, 225 
2, 6, 279 
2, 7, 262 
2, 8, 293 
2, 9, 390 
2, 10, 440 
2, 11, 440 
2, 12, 548 
2, 13, 558 
2, 14, 617 
2, 15, 557 
2, 16, 712 
4, 1, 90 
4, 2, 130 
4, 3, 142 
4, 4, 189 
4, 5, 261 
4, 6, 283 
4, 7, 328 
4, 8, 377 
4, 9, 463 
4, 10, 391 
4, 11, 424 
4, 12, 555 
4, 13, 596 
4, 14, 493 
4, 15, 601 
4, 16, 597 
8, 1, 295 
8, 2, 152 
8, 3, 178 
8, 4, 178 
8, 5, 249 
8, 6, 239 
8, 7, 286 
8, 8, 300 
8, 9, 632 
8, 10, 453 
8, 11, 488 
8, 12, 547 
8, 13, 601 
8, 14, 646 
8, 15, 521 
8, 16, 634 
16, 1, 103 
16, 2, 233 
16, 3, 175 
16, 4, 243 
16, 5, 263 
16, 6, 274 
16, 7, 308 
16, 8, 358 
16, 9, 413 
16, 10, 470 
16, 11, 423 
16, 12, 556 
16, 13, 903 
16, 14, 608 
16, 15, 510 
16, 16, 690 
32, 1, 97 
32, 2, 193 
32, 3, 324 
32, 4, 219 
32, 5, 230 
32, 6, 301 
32, 7, 626 
32, 8, 381 
32, 9, 611 
32, 10, 622 
32, 11, 482 
32, 12, 590 
32, 13, 773 
32, 14, 637 
32, 15, 552 
32, 16, 655 
64, 1, 87 
64, 2, 255 
64, 3, 145 
64, 4, 229 
64, 5, 269 
64, 6, 326 
64, 7, 307 
64, 8, 406 
64, 9, 514 
64, 10, 420 
64, 11, 616 
64, 12, 632 
64, 13, 614 
64, 14, 580 
64, 15, 1015 
64, 16, 676 
128, 1, 109 
128, 2, 152 
128, 3, 197 
128, 4, 246 
128, 5, 277 
128, 6, 466 
128, 7, 334 
128, 8, 754 
128, 9, 296 
128, 10, 466 
128, 11, 472 
128, 12, 491 
128, 13, 550 
128, 14, 612 
128, 15, 895 
128, 16, 718 
256, 1, 120 
256, 2, 358 
256, 3, 242 
256, 4, 237 
256, 5, 244 
256, 6, 334 
256, 7, 288 
256, 8, 337 
256, 9, 449 
256, 10, 422 
256, 11, 431 
256, 12, 698 
256, 13, 642 
256, 14, 626 
256, 15, 598 
256, 16, 711 
512, 1, 119 
512, 2, 161 
512, 3, 149 
512, 4, 226 
512, 5, 282 
512, 6, 249 
512, 7, 311 
512, 8, 371 
512, 9, 392 
512, 10, 601 
512, 11, 565 
512, 12, 750 
512, 13, 663 
512, 14, 799 
512, 15, 715 
512, 16, 711 
1024, 1, 113 
1024, 2, 127 
1024, 3, 359 
1024, 4, 205 
1024, 5, 262 
1024, 6, 298 
1024, 7, 423 
1024, 8, 359 
1024, 9, 511 
1024, 10, 744 
1024, 11, 529 
1024, 12, 629 
1024, 13, 607 
1024, 14, 681 
1024, 15, 762 
1024, 16, 843 
2048, 1, 117 
2048, 2, 247 
2048, 3, 175 
2048, 4, 183 
2048, 5, 278 
2048, 6, 547 
2048, 7, 322 
2048, 8, 452 
2048, 9, 486 
2048, 10, 489 
2048, 11, 557 
2048, 12, 700 
2048, 13, 536 
2048, 14, 807 
2048, 15, 681 
2048, 16, 758 
4096, 1, 112 
4096, 2, 159 
4096, 3, 227 
4096, 4, 328 
4096, 5, 261 
4096, 6, 310 
4096, 7, 339 
4096, 8, 349 
4096, 9, 465 
4096, 10, 445 
4096, 11, 752 
4096, 12, 533 
4096, 13, 581 
4096, 14, 659 
4096, 15, 700 
4096, 16, 704 
8192, 1, 122 
8192, 2, 195 
8192, 3, 177 
8192, 4, 269 
8192, 5, 252 
8192, 6, 285 
8192, 7, 368 
8192, 8, 335 
8192, 9, 589 
8192, 10, 1005 
8192, 11, 571 
8192, 12, 737 
8192, 13, 614 
8192, 14, 621 
8192, 15, 793 
8192, 16, 1015 
16384, 1, 144 
16384, 2, 248 
16384, 3, 228 
16384, 4, 259 
16384, 5, 383 
16384, 6, 520 
16384, 7, 346 
16384, 8, 423 
16384, 9, 538 
16384, 10, 417 
16384, 11, 585 
16384, 12, 957 
16384, 13, 784 
16384, 14, 689 
16384, 15, 1435 
16384, 16, 666 
32768, 1, 236 
32768, 2, 213 
32768, 3, 340 
32768, 4, 277 
32768, 5, 274 
32768, 6, 423 
32768, 7, 468 
32768, 8, 700 
32768, 9, 448 
32768, 10, 617 
32768, 11, 583 
32768, 12, 515 
32768, 13, 676 
32768, 14, 776 
32768, 15, 740 
32768, 16, 755 
65536, 1, 263 
65536, 2, 262 
65536, 3, 271 
65536, 4, 306 
65536, 5, 334 
65536, 6, 303 
65536, 7, 415 
65536, 8, 533 
65536, 9, 604 
65536, 10, 552 
65536, 11, 565 
65536, 12, 632 
65536, 13, 646 
65536, 14, 618 
65536, 15, 783 
65536, 16, 699 
131072, 1, 409 
131072, 2, 319 
131072, 3, 323 
131072, 4, 379 
131072, 5, 364 
131072, 6, 397 
131072, 7, 374 
131072, 8, 523 
131072, 9, 533 
131072, 10, 595 
131072, 11, 608 
131072, 12, 629 
131072, 13, 691 
131072, 14, 693 
131072, 15, 724 
131072, 16, 678 
262144, 1, 693 
262144, 2, 459 
262144, 3, 434 
262144, 4, 381 
262144, 5, 436 
262144, 6, 469 
262144, 7, 455 
262144, 8, 503 
262144, 9, 513 
262144, 10, 594 
262144, 11, 605 
262144, 12, 652 
262144, 13, 659 
262144, 14, 802 
262144, 15, 663 
262144, 16, 773 
524288, 1, 1209 
524288, 2, 703 
524288, 3, 549 
524288, 4, 672 
524288, 5, 717 
524288, 6, 618 
524288, 7, 572 
524288, 8, 665 
524288, 9, 1138 
524288, 10, 687 
524288, 11, 709 
524288, 12, 771 
524288, 13, 702 
524288, 14, 880 
524288, 15, 843 
524288, 16, 944 
1048576, 1, 2262 
1048576, 2, 1176 
1048576, 3, 1044 
1048576, 4, 1046 
1048576, 5, 1020 
1048576, 6, 943 
1048576, 7, 918 
1048576, 8, 915 
1048576, 9, 936 
1048576, 10, 933 
1048576, 11, 913 
1048576, 12, 1023 
1048576, 13, 995 
1048576, 14, 1082 
1048576, 15, 1099 
1048576, 16, 1186 
2097152, 1, 3734 
2097152, 2, 2351 
2097152, 3, 1854 
2097152, 4, 1629 
2097152, 5, 1772 
2097152, 6, 1425 
2097152, 7, 1547 
2097152, 8, 1447 
2097152, 9, 1348 
2097152, 10, 1298 
2097152, 11, 1377 
2097152, 12, 1468 
2097152, 13, 1328 
2097152, 14, 1319 
2097152, 15, 1546 
2097152, 16, 1705 
4194304, 1, 7958 
4194304, 2, 4726 
4194304, 3, 3063 
4194304, 4, 3119 
4194304, 5, 2972 
4194304, 6, 2512 
4194304, 7, 2416 
4194304, 8, 2412 
4194304, 9, 2440 
4194304, 10, 2224 
4194304, 11, 2280 
4194304, 12, 2278 
4194304, 13, 2268 
4194304, 14, 2285 
4194304, 15, 2219 
4194304, 16, 2448 
8388608, 1, 14190 
8388608, 2, 8540 
8388608, 3, 6264 
8388608, 4, 5626 
8388608, 5, 5318 
8388608, 6, 5205 
8388608, 7, 4130 
8388608, 8, 4382 
8388608, 9, 4068 
8388608, 10, 4078 
8388608, 11, 3979 
8388608, 12, 3828 
8388608, 13, 4114 
8388608, 14, 3963 
8388608, 15, 4352 
8388608, 16, 3976 
16777216, 1, 23792 
16777216, 2, 14843 
16777216, 3, 11993 
16777216, 4, 10644 
16777216, 5, 9617 
16777216, 6, 9375 
16777216, 7, 8160 
16777216, 8, 7933 
16777216, 9, 7619 
16777216, 10, 7506 
16777216, 11, 7369 
16777216, 12, 7018 
16777216, 13, 6819 
16777216, 14, 6597 
16777216, 15, 6654 
16777216, 16, 7256 
33554432, 1, 49935 
33554432, 2, 27385 
33554432, 3, 21024 
33554432, 4, 18402 
33554432, 5, 16623 
33554432, 6, 13894 
33554432, 7, 13600 
33554432, 8, 14450 
33554432, 9, 14148 
33554432, 10, 14372 
33554432, 11, 13584 
33554432, 12, 13522 
33554432, 13, 12864 
33554432, 14, 12130 
33554432, 15, 12062 
33554432, 16, 11936 
67108864, 1, 102929 
67108864, 2, 52798 
67108864, 3, 44891 
67108864, 4, 31070 
67108864, 5, 28069 
67108864, 6, 25630 
67108864, 7, 22042 
67108864, 8, 23534 
67108864, 9, 25630 
67108864, 10, 25871 
67108864, 11, 24400 
67108864, 12, 23588 
67108864, 13, 23060 
67108864, 14, 21741 
67108864, 15, 21527 
67108864, 16, 21843 
